Label,Area,Site
nariel - stellaria or not 2.jpg,31.98,Nariel
nariel - stellaria or not 2.jpg,27.64,Nariel
nariel - stellaria or not 2.jpg,30.718,Nariel
nariel - stellaria or not 2.jpg,52.96,Nariel
nariel - stellaria or not 2.jpg,29.405,Nariel
nariel - stellaria or not 2.jpg,33.906,Nariel
nariel - stellaria or not 2.jpg,20.148,Nariel
nariel - stellaria or not 2.jpg,30.266,Nariel
nariel - stellaria or not 2.jpg,27.808,Nariel
nariel - stellaria or not 2.jpg,45.308,Nariel
nariel - stellaria or not 2.jpg,33.621,Nariel
nariel - stellaria or not 2.jpg,21.862,Nariel
nariel - stellaria or not 2.jpg,52.88,Nariel
nariel - stellaria or not 2.jpg,35.905,Nariel
nariel - stellaria or not 2.jpg,45.235,Nariel
nariel - stellaria or not 2.jpg,32.301,Nariel
nariel - stellaria or not 2.jpg,55.535,Nariel
nariel - stellaria or not 3.jpg,63.712,Nariel
nariel - stellaria or not 3.jpg,67.163,Nariel
nariel - stellaria or not 3.jpg,86.282,Nariel
nariel - stellaria or not 3.jpg,55.528,Nariel
nariel - stellaria or not 3.jpg,70.905,Nariel
nariel - stellaria or not 3.jpg,64.522,Nariel
nariel - stellaria or not 3.jpg,47.89,Nariel
nariel - stellaria or not 3.jpg,92.023,Nariel
nariel - stellaria or not 3.jpg,42.66,Nariel
nariel - stellaria or not 3.jpg,63.326,Nariel
nariel - stellaria or not 3.jpg,70.795,Nariel
nariel - stellaria or not 3.jpg,80.826,Nariel
nariel - stellaria or not 3.jpg,128.935,Nariel
nariel - stellaria or not 3.jpg,57.213,Nariel
nariel - stellaria or not 3.jpg,59.569,Nariel
nariel - stellaria or not 3.jpg,66.331,Nariel
nariel - stellaria or not 3.jpg,84.794,Nariel
nariel - stellaria or not 3.jpg,94.817,Nariel
nariel - stellaria or not 3.jpg,55.776,Nariel
nariel - stellaria or not 3.jpg,20.36,Nariel
nariel - stellaria or not 3.jpg,116.577,Nariel
nariel - stellaria or not 3.jpg,152.883,Nariel
nariel - stellaria or not 3.jpg,75.61,Nariel
nariel - stellaria or not 3.jpg,59.408,Nariel
nariel - stellaria or not 3.jpg,59.598,Nariel
nariel - stellaria or not 3.jpg,83.554,Nariel
nariel - stellaria or not 3.jpg,90.426,Nariel
nariel - stellaria or not 3.jpg,107.729,Nariel
nariel - stellaria or not 3.jpg,83.299,Nariel
nariel - stellaria or not 3.jpg,57.351,Nariel
nariel - stellaria or not 3.jpg,95.875,Nariel
nariel - stellaria or not 3.jpg,71.795,Nariel
nariel - stellaria or not 3.jpg,87.369,Nariel
nariel - stellaria or not 4.jpg,129.168,Nariel
nariel - stellaria or not 4.jpg,64.77,Nariel
nariel - stellaria or not 4.jpg,68.271,Nariel
nariel - stellaria or not 4.jpg,47.773,Nariel
nariel - stellaria or not 4.jpg,29.266,Nariel
nariel - stellaria or not 4.jpg,37.451,Nariel
nariel - stellaria or not 4.jpg,39.435,Nariel
nariel - stellaria or not 4.jpg,19.681,Nariel
nariel - stellaria or not 4.jpg,28.041,Nariel
nariel - stellaria or not 4.jpg,24.882,Nariel
nariel - stellaria or not 4.jpg,20.936,Nariel
