"","Label","Site","meanArea","sdArea","count"
"332","shrub 1 - 3.jpg","Wallagaraugh",39.5725294117647,13.8038889782319,34
"333","shrub 1 - 4.jpg","Wallagaraugh",47.8699655172414,22.1601390088516,29
"334","shrub 1 -1.jpg","Wallagaraugh",54.7842,26.580372597625,50
"335","shrub X - 1.jpg","Wallagaraugh",2011.853,481.425991611379,3
"336","shrub X - 2.jpg","Wallagaraugh",2599.63,129.134668807412,2
"337","shrub X - 3.jpg","Wallagaraugh",2075.22966666667,471.547395234385,3
"338","shrub X - 4.jpg","Wallagaraugh",1971.002,119.597212542768,2
"339","shrub X - 5.jpg","Wallagaraugh",2473.467,712.195116153221,5
"340","shub 1 - 5.jpg","Wallagaraugh",31.1671935483871,8.78456381546386,31
"341","small leaf privet - 1.jpg","Cataract",684.189333333333,102.383607397911,15
"342","small leaf privet - 2.jpg","Cataract",741.388666666667,116.870211215364,15
"343","small leaf privet - 3.jpg","Cataract",345.84,60.6000960395279,16
